,64
982,1
2538,0
130,1
2873,2
1109,2
1752,3
1680,3
2380,1
1556,2
227,0
999,0
45,0
2490,2
2047,2
2866,2
2045,2
1986,3
2442,2
57,1
2094,1
1408,1
1962,3
2678,1
1294,1
2770,0
1889,2
2887,3
225,1
2456,1
18,2
1956,1
1540,0
316,3
1584,1
1038,1
396,2
566,1
1009,2
2247,0
152,0
1756,3
2003,2
2116,2
390,2
1421,1
2455,1
1370,3
2592,1
448,2
2452,1
1616,1
132,2
2845,2
1077,2
1671,3
31,3
1554,0
921,3
694,1
2900,0
2929,2
406,0
1149,3
2198,1
1537,1
243,0
1834,1
358,1
771,2
343,0
1392,1
2155,3
2074,2
1845,0
1712,1
1108,1
1194,0
417,1
938,1
178,0
2550,0
2583,2
622,2
541,2
938,0
2372,1
863,1
1821,1
957,2
2660,0
588,2
1420,2
2501,0
666,3
854,1
2126,3
1775,1
738,2
1332,3
1333,1
826,3
565,3
1663,3
1132,0
243,2
51,3
375,3
1564,0
1911,3
130,0
639,1
419,1
215,0
1723,0
1770,3
448,3
1062,3
608,0
55,1
2370,1
2050,0
27,0
90,1
1004,1
2549,2
1396,3
1185,0
2430,2
1183,1
960,1
30,0
1452,1
281,0
24,3
898,3
648,3
162,3
1787,0
666,0
634,1
965,3
768,0
589,2
705,1
2319,0
786,3
176,0
994,1
2802,0
2251,1
2874,3
2157,1
1675,0
2547,1
595,0
2700,0
779,1
41,3
1022,2
2782,3
1135,3
2037,0
817,0
1270,2
964,2
1705,1
138,0
1172,3
266,3
2782,0
2576,0
1887,0
1420,3
2642,0
601,3
2279,0
2810,0
1174,3
2023,2
1004,2
1314,1
2855,3
2684,0
86,2
2177,1
1175,2
401,1
6,3
668,1
2046,1
2138,2
1686,1
2836,0
1936,3
909,1
1800,0
1593,2
2509,3
1957,0
1678,1
1864,3
364,3
2804,1
31,1
1055,2
972,3
1197,2
1537,0
2723,2
1630,1
405,2
771,0
2162,0
1095,0
14,1
816,1
2434,0
1787,3
1943,0
1536,0
1849,0
757,0
2276,0
562,2
1576,0
1876,3
1574,0
109,2
2253,1
1995,0
2583,3
572,1
705,3
114,3
2375,3
1453,0
916,1
2218,1
1023,2
2013,1
1842,2
2883,0
1110,1
1211,1
534,1
1073,2
988,1
2585,1
552,0
240,2
1711,0
2516,1
143,3
1518,2
2746,0
146,0
558,3
2304,1
2701,1
5,1
144,0
2382,3
2481,0
378,1
2315,2
1539,1
2649,1
735,0
1810,3
2550,1
2074,1
1825,2
2591,0
2799,0
694,0
748,3
700,3
2582,2
801,0
1268,2
2438,0
419,3
236,1
2056,0
1641,3
1065,1
1056,2
2875,2
447,2
135,1
352,1
2344,1
1892,3
1253,1
133,3
2599,0
2597,0
2513,0
1779,1
715,0
2135,0
432,0
582,0
2897,0
420,3
1780,1
359,3
353,0
1620,3
712,2
1508,0
1384,1
1230,1
634,0
1061,1
1040,3
2827,1
2596,0
1762,2
2339,2
2595,3
712,0
2036,1
2205,1
2793,3
2820,3
1766,3
2478,0
2860,3
2659,3
792,1
2887,0
1111,1
2769,1
1275,1
2222,2
1772,0
925,0
998,2
2210,2
1739,1
2139,3
1043,0
151,0
978,0
1298,0
1349,0
2857,2
1938,1
1383,3
1011,0
2425,3
1416,3
2078,3
2206,3
2,3
924,2
497,3
279,0
1632,1
2213,3
1746,2
2524,1
969,3
1510,1
2737,1
2759,1
483,0
2582,0
1367,0
1693,0
239,1
2268,3
452,1
1159,3
183,0
207,2
2330,1
652,1
1157,2
143,1
2353,3
1268,3
2108,3
2512,3
2142,3
837,0
2677,3
1970,3
2324,3
579,0
1973,3
242,0
1456,2
2056,2
750,3
488,3
813,3
979,3
140,0
1474,3
1698,1
508,3
495,3
2650,3
1122,3
2832,0
329,3
80,0
1608,2
1147,2
909,3
1613,1
2752,0
831,3
1684,1
1848,2
563,3
931,0
1910,1
984,1
97,1
1502,2
2553,2
2180,0
1042,1
2598,0
1921,1
333,0
1586,3
1460,0
2415,2
1363,2
2020,0
1129,0
1573,2
17,0
2865,3
1949,2
1024,2
1290,2
2292,3
855,2
2824,2
2120,0
876,1
1383,0
2643,3
2812,3
1046,3
716,0
2914,3
1635,0
1577,0
2840,2
2371,1
390,1
2825,2
925,1
690,0
2416,3
1774,3
1744,2
602,0
360,2
1163,2
406,2
1148,1
1547,1
271,1
20,0
1321,0
75,3
1929,0
120,0
2126,1
1566,0
170,0
1080,2
670,2
979,1
442,3
453,1
1946,3
2178,3
2887,2
2159,0
15,2
